date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:38	580/580	---MCZ	200	added ('OK')	text/plain	date:Wed,%2019%20Nov%202025%2006:17:38%20GMT	https://www.gcad.net/robots.txt		(from )
11:47:38	40550/40550	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Nov%202025%2006:17:38%20GMT	https://www.gcad.net/	C:/Users/JR521HT/Downloads/Sites/gcadsite/www.gcad.net/index.html	(from )
11:47:38	25886/25886	---M-Z	200	added ('OK')	application/javascript	etag:0x8DE2586DDA5F050	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/Users/JR521HT/Downloads/Sites/gcadsite/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://www.gcad.net/)
11:47:38	3613/3613	---MCZ	200	added ('OK')	image/x-icon	date:Wed,%2007%20May%202025%2005:47:27%20GMT	https://www.gcad.net/sites/g/files/qhldwo10936/themes/site/themes/custom/otsuka_gcad/favicon.ico	C:/Users/JR521HT/Downloads/Sites/gcadsite/www.gcad.net/sites/g/files/qhldwo10936/themes/site/themes/custom/otsuka_gcad/favicon.ico	(from https://www.gcad.net/)
11:47:39	1532/1532	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:00%20GMT	https://www.gcad.net/sites/g/files/qhldwo10936/files/css/optimized/css_97htjIvQ15V1EfeTASftshiMIzLS36LIXVDogWwnlWQ.IJ5KA0xBsRRaiRPaWB6Sh9PN3WKo_EsNIYaw8SqYqYc.css?t5hzk8	C:/Users/JR521HT/Downloads/Sites/gcadsite/www.gcad.net/sites/g/files/qhldwo10936/files/css/optimized/css_97htjIvQ15V1EfeTASftshiMIzLS36LIXVDogWwnlWQ.IJ5KA0xBsRRaiRPaWB6Sh9PN3WKo_EsNIYaw8SqYqYc81e2.css	(from https://www.gcad.net/)
11:47:39	1470/1470	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:01%20GMT	https://www.gcad.net/sites/g/files/qhldwo10936/files/css/optimized/css_Zru9LBZ0sAXcjonUFHSutTAZkU-sNKpHr1JGBQ4FyU0.bkPvoFYCA2Lixa4KISvTdT3EKjCHiKrtKcE261byVx0.css?t5hzk8	C:/Users/JR521HT/Downloads/Sites/gcadsite/www.gcad.net/sites/g/files/qhldwo10936/files/css/optimized/css_Zru9LBZ0sAXcjonUFHSutTAZkU-sNKpHr1JGBQ4FyU0.bkPvoFYCA2Lixa4KISvTdT3EKjCHiKrtKcE261byVx081e2.css	(from https://www.gcad.net/)
11:47:39	792/792	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:01%20GMT	https://www.gcad.net/sites/g/files/qhldwo10936/files/css/optimized/css_kzULKG5pzGyNLykluQb5oDJTQPcLlJKzZ5imyM6J1h8.b9DwpaiAlb0lsM657D5Lniy-cPNAkk4Cxr45yy473q4.css?t5hzk8	C:/Users/JR521HT/Downloads/Sites/gcadsite/www.gcad.net/sites/g/files/qhldwo10936/files/css/optimized/css_kzULKG5pzGyNLykluQb5oDJTQPcLlJKzZ5imyM6J1h8.b9DwpaiAlb0lsM657D5Lniy-cPNAkk4Cxr45yy473q481e2.css	(from https://www.gcad.net/)
11:47:39	1175/1175	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:01%20GMT	https://www.gcad.net/sites/g/files/qhldwo10936/files/css/optimized/css_uI2FntcPi0s7LE7aVRLFPdaOjEJ2AvgJxZxn7U_KEpU.uS1FFwOJYeXSeF3bIVSvkMkrHh5opqqW_F79rAx63B0.css?t5hzk8	C:/Users/JR521HT/Downloads/Sites/gcadsite/www.gcad.net/sites/g/files/qhldwo10936/files/css/optimized/css_uI2FntcPi0s7LE7aVRLFPdaOjEJ2AvgJxZxn7U_KEpU.uS1FFwOJYeXSeF3bIVSvkMkrHh5opqqW_F79rAx63B081e2.css	(from https://www.gcad.net/)
11:47:39	1407/1407	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:00%20GMT	https://www.gcad.net/sites/g/files/qhldwo10936/files/css/optimized/css_LyrrR6JZO8eTCViUPzg899V1r3IBqMYsy9zQoA-d_xo.Awf46AhlxtFml2KQ8H4-E0dZzxzlJb1Ua0P5_ptOC4k.css?t5hzk8	C:/Users/JR521HT/Downloads/Sites/gcadsite/www.gcad.net/sites/g/files/qhldwo10936/files/css/optimized/css_LyrrR6JZO8eTCViUPzg899V1r3IBqMYsy9zQoA-d_xo.Awf46AhlxtFml2KQ8H4-E0dZzxzlJb1Ua0P5_ptOC4k81e2.css	(from https://www.gcad.net/)
11:47:40	1756/1756	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:00%20GMT	https://www.gcad.net/sites/g/files/qhldwo10936/files/css/optimized/css_YuXFCqJ6Mh9c2Lz522vxxQKwCuYdi4B4eglcgrxGnjc.xk_yrolxl9EFVCS6-YD3__eEEiB4lkwtBVMLZeTfMbA.css?t5hzk8	C:/Users/JR521HT/Downloads/Sites/gcadsite/www.gcad.net/sites/g/files/qhldwo10936/files/css/optimized/css_YuXFCqJ6Mh9c2Lz522vxxQKwCuYdi4B4eglcgrxGnjc.xk_yrolxl9EFVCS6-YD3__eEEiB4lkwtBVMLZeTfMbA81e2.css	(from https://www.gcad.net/)
